Real	Predicted
Woman Reading a letter	The Merry Family
'Tronie' of a Man with a Feathered Beret	Portrait of a Woman, Possibly Maria Trip
'Tronie' of a Man with a Feathered Beret	Portrait of a Woman, Possibly Maria Trip
The Sick Girl	Girl Eating Oysters
The Sick Girl	The Doctors Visit
The Sick Girl	Girl Eating Oysters
The Sick Girl	Girl Eating Oysters
'As the Old Sing, So Pipe the Young'	The Merry Family
Suzanna	Portrait of a Woman, Possibly Maria Trip
Suzanna	The Sick Girl
Diana and her Nymphs	The Anatomy Lesson of Dr Nicolaes Tulp
Diana and her Nymphs	The Merry Family
Diana and her Nymphs	The Merry Family
Portrait of a Woman, Possibly Maria Trip	Girl Eating Oysters
Girl Eating Oysters	As the Old Sing, So Pipe the Young
Girl Eating Oysters	The Doctors Visit
Girl with Pearl Earring	The Anatomy Lesson of Dr Nicolaes Tulp
Landscape with a Stone Bridge	View of Delft
Landscape with a Stone Bridge	View of Delft
View of Delft	View of Houses in Delft, Known as ‘The Little Str
Young Woman in Fantasy Costume	Tronie of a Man with a Feathered Beret
Young Woman in Fantasy Costume	Tronie of a Man with a Feathered Beret
Young Woman in Fantasy Costume	Tronie of a Man with a Feathered Beret
Young Woman in Fantasy Costume	Tronie of a Man with a Feathered Beret
The Wardens of the Amsterdam Drapers’ Guild, Known as ‘The Syndics’	The Merry Family
The Wardens of the Amsterdam Drapers’ Guild, Known as ‘The Syndics’	The Anatomy Lesson of Dr Nicolaes Tulp
The Wardens of the Amsterdam Drapers’ Guild, Known as ‘The Syndics’	The Sick Girl
The Sick Woman	The Merry Family
The Sick Woman	The Sick Girl
The Sick Woman	The Doctors Visit
The Sick Woman	The Merry Family
The Sick Woman	The Merry Family
Woman at her Toilet	The Merry Family
Woman at her Toilet	Girl Eating Oysters
The Doctor's Visit	The Sick Woman
The Doctor's Visit	The Sick Woman
